num_features,features,val_accuracy
4,"elo_diff, alt_diff, avg_age_diff, avg_per_player_diff",0.7829629629629629
3,"xg_for_diff, alt_diff, humid_diff",0.7814814814814816
1,elo_diff,0.7814814814814816
4,"elo_diff, xg_for_diff, alt_diff, avg_age_diff",0.7807407407407407
4,"elo_diff, alt_diff, total_value_diff, avg_per_player_diff",0.7792592592592592
4,"xg_for_diff, humid_diff, avg_age_diff, total_value_diff",0.7792592592592592
4,"xg_for_diff, humid_diff, avg_age_diff, avg_per_player_diff",0.7792592592592592
3,"elo_diff, alt_diff, avg_per_player_diff",0.7785185185185185
5,"xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7785185185185185
3,"elo_diff, alt_diff, total_value_diff",0.7785185185185185
1,xg_for_diff,0.7777777777777777
3,"xg_for_diff, humid_diff, avg_per_player_diff",0.777037037037037
3,"xg_for_diff, humid_diff, total_value_diff",0.777037037037037
4,"xg_for_diff, humid_diff, total_value_diff, avg_per_player_diff",0.777037037037037
2,"elo_diff, alt_diff",0.7755555555555556
2,"xg_for_diff, avg_age_diff",0.7748148148148148
2,"xg_for_diff, alt_diff",0.774074074074074
3,"xg_for_diff, alt_diff, avg_age_diff",0.7718518518518518
2,"xg_for_diff, total_value_diff",0.7703703703703704
2,"xg_for_diff, avg_per_player_diff",0.7703703703703704
3,"xg_for_diff, total_value_diff, avg_per_player_diff",0.7688888888888888
3,"xg_for_diff, avg_age_diff, total_value_diff",0.7688888888888888
3,"xg_for_diff, avg_age_diff, avg_per_player_diff",0.7674074074074073
4,"xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7659259259259258
4,"xg_for_diff, alt_diff, humid_diff, total_value_diff",0.7651851851851851
5,"xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff",0.7651851851851851
4,"xg_for_diff, alt_diff, humid_diff, avg_per_player_diff",0.7651851851851851
6,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7651851851851851
4,"xg_for_diff, alt_diff, avg_age_diff, total_value_diff",0.7644444444444445
3,"xg_for_diff, alt_diff, total_value_diff",0.7644444444444445
5,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff",0.7644444444444443
4,"xg_for_diff, alt_diff, avg_age_diff, avg_per_player_diff",0.7637037037037037
3,"xg_for_diff, alt_diff, avg_per_player_diff",0.7637037037037037
5,"xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7637037037037037
5,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",0.7637037037037036
4,"xg_for_diff, alt_diff, total_value_diff, avg_per_player_diff",0.7622222222222222
3,"alt_diff, total_value_diff, avg_per_player_diff",0.7081481481481481
2,"alt_diff, total_value_diff",0.7081481481481481
1,total_value_diff,0.7081481481481481
2,"alt_diff, avg_per_player_diff",0.7081481481481481
1,avg_per_player_diff,0.7066666666666666
2,"total_value_diff, avg_per_player_diff",0.705185185185185
3,"alt_diff, humid_diff, total_value_diff",0.7037037037037037
3,"alt_diff, humid_diff, avg_per_player_diff",0.7037037037037037
2,"avg_age_diff, total_value_diff",0.7029629629629629
4,"alt_diff, humid_diff, total_value_diff, avg_per_player_diff",0.7022222222222222
2,"avg_age_diff, avg_per_player_diff",0.7022222222222222
3,"avg_age_diff, total_value_diff, avg_per_player_diff",0.7
2,"humid_diff, total_value_diff",0.6985185185185184
2,"humid_diff, avg_per_player_diff",0.6977777777777777
3,"humid_diff, total_value_diff, avg_per_player_diff",0.6970370370370369
3,"alt_diff, avg_age_diff, total_value_diff",0.6948148148148147
4,"alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.694074074074074
3,"alt_diff, avg_age_diff, avg_per_player_diff",0.6933333333333331
3,"humid_diff, avg_age_diff, total_value_diff",0.6918518518518519
4,"alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",0.6918518518518519
4,"alt_diff, humid_diff, avg_age_diff, total_value_diff",0.6918518518518519
5,"alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.6911111111111111
3,"humid_diff, avg_age_diff, avg_per_player_diff",0.6911111111111111
4,"humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.6903703703703704
1,avg_age_diff,0.5659259259259258
2,"humid_diff, avg_age_diff",0.5533333333333332
2,"alt_diff, avg_age_diff",0.5518518518518519
3,"alt_diff, humid_diff, avg_age_diff",0.5414814814814813
1,humid_diff,0.5022222222222222
2,"alt_diff, humid_diff",0.4851851851851853
1,alt_diff,0.431111111111111
